Review_Date,Author,Rating,Review_Title,Review,Review_Url
94,12 November 2021,devinderbonding,9, Thought provoking and hard hitting - must watch !,Outstanding film with some terrific performances. Wasn't expecting something this impactful. Thought provoking cinema that steers clear of unnecessary histrionics and over the top drama.,
95,2 November 2021,harikrishnansvnce,9, SURIYA - Pride of Indian Cinema,"No words to describe this excellent masterpiece of Suriya Sir... Hatsoff to whole team of JaiBhim..
Awesome performance my Lijomol Jose, Manikandan & Prakash Raj Sir.. Well directed by TJ Gnanavel Sir.. Brilliant touching songs and BGMs by Sean Roldan..",
96,7 November 2021,shashimothe,10, Brilliant worth to watch,Suriya's performance superb Oscar level film.,
97,6 November 2021,anwaramaan-82861,10, Extraordinary movie,"Perfect and extraordinary movie. Everyone should watch this movie. Surya acting is mind blowing , storyline is amazing. (10/10). A must watch movie. Dont go for the negative reviews.",
98,11 November 2021,janmejayapanda,10, Masterpiece. The pride of tamil industry the pride of India.,"Surya please shop it man, stop dropping masterclasses one after another. Give other stars and director to breathe man. This is so unfair on their part to compete with you man. They should file anti competitive law against you😂. You are too good and director sir you are even better than surya. I have to say way way better than surya. I really feel they should have also dubbed a English version of this movie. So that we could give the foreigners a taste of indian movies. They are not familiar with many Indians languages that's why they skip watch our film and make a bad perceptions of our movies. This movie should represent Indian movie. This should be the national movie of India.",
99,12 November 2021,ssunny-social,6, Indian Binary Voting,"We Indians live in binaries since our votes are mostly emotionally driven. When we love a film star in the film or the cause it discusses, we are hypercharged and want to give it a 10. Just the way Vishwaroopoam was. Vishwaroopam had 9.8/10 with more than 30k votes back in 2013 when Indian films barely touched 10k votes (pre-jio era).",
100,7 November 2021,srisridge,10, Definition of pain,"Best movie of the decade. Surya nailed it every court scenes gives goosebumps. Must watch movie trust me u won't regret share this movie to ur friends ""jai bhim""",
101,2 November 2021,omatriksomikoron,9, Very heart touching and one of the best..!,"I've just finished watching this movie. Only Suriya has power to do this kind of movie. Became literally emotional seeing the last court room scene. South Indian cinema industry is now the new face of Indian cinema. Thanks to Amazon prime, suriya and all crew members for this masterpiece..!",
102,2 November 2021,krushna-patle,10, Must watch,The movie is the best portrait of caste discrimination and human rights violations happening in our country. Today still many people face a caste discrimination and we need to more awareness about the issue. The film tells the real story and everyone must watch to get an opinions about what's really happening in our society and we should stop happening this in today 21st century digital world. So please watch movie with open mind and think about it. I liked the movie very much and everyone did their best.,
103,10 November 2021,surajkailase,8, Don't miss this one,"A great watch indeed. The story, the cast and acting, everything felt perfect. Don't miss this one. Such stories deserved to adapted into a film so that everyone should know about it.",
104,2 November 2021,mailjotheesh,10, Expecting atleast 2 National awards for this Movie,Excellent story and excellent acting by every one of the actors. Cinematography and music has been excellent. Best tamil movie i have watched in this year along with Vinodhaya sitham.,
105,6 November 2021,govind9402,9, Equality is more important than life.,"Jai Bhim
⭐⭐⭐⭐⭐⭐⭐⭐⭐9/10
What a week, my love for movies got me.",
